DateTime,Junction,Vehicles,Hour,Day,DayOfWeek,Month,Year,Is_Weekend,Is_Peak_Hour
2015-11-02 13:00:00,1,26,13,2,0,11,2015,0,0
2015-11-02 14:00:00,1,34,14,2,0,11,2015,0,0
2015-11-02 15:00:00,1,30,15,2,0,11,2015,0,0
2015-11-02 16:00:00,1,27,16,2,0,11,2015,0,0
2015-11-02 17:00:00,1,27,17,2,0,11,2015,0,1
2015-11-02 18:00:00,1,24,18,2,0,11,2015,0,1
2015-11-02 19:00:00,1,26,19,2,0,11,2015,0,1
2015-11-02 20:00:00,1,29,20,2,0,11,2015,0,0
2015-11-02 21:00:00,1,32,21,2,0,11,2015,0,0
2015-11-02 22:00:00,1,30,22,2,0,11,2015,0,0
2015-11-02 23:00:00,1,27,23,2,0,11,2015,0,0
2015-11-03 00:00:00,1,21,0,3,1,11,2015,0,0
2015-11-03 01:00:00,1,18,1,3,1,11,2015,0,0
2015-11-03 02:00:00,1,19,2,3,1,11,2015,0,0
2015-11-03 03:00:00,1,13,3,3,1,11,2015,0,0
2015-11-03 04:00:00,1,11,4,3,1,11,2015,0,0
2015-11-03 05:00:00,1,11,5,3,1,11,2015,0,0
2015-11-03 06:00:00,1,11,6,3,1,11,2015,0,0
2015-11-03 07:00:00,1,14,7,3,1,11,2015,0,0
2015-11-03 08:00:00,1,15,8,3,1,11,2015,0,1
2015-11-03 09:00:00,1,29,9,3,1,11,2015,0,1
2015-11-03 10:00:00,1,33,10,3,1,11,2015,0,1
2015-11-03 11:00:00,1,32,11,3,1,11,2015,0,0
2015-11-03 12:00:00,1,32,12,3,1,11,2015,0,0
2015-11-03 13:00:00,1,29,13,3,1,11,2015,0,0
2015-11-03 14:00:00,1,27,14,3,1,11,2015,0,0
2015-11-03 15:00:00,1,26,15,3,1,11,2015,0,0
2015-11-03 16:00:00,1,28,16,3,1,11,2015,0,0
2015-11-03 17:00:00,1,26,17,3,1,11,2015,0,1
2015-11-03 18:00:00,1,25,18,3,1,11,2015,0,1
2015-11-03 19:00:00,1,29,19,3,1,11,2015,0,1
2015-11-03 20:00:00,1,26,20,3,1,11,2015,0,0
2015-11-03 21:00:00,1,24,21,3,1,11,2015,0,0
2015-11-03 22:00:00,1,25,22,3,1,11,2015,0,0
2015-11-03 23:00:00,1,20,23,3,1,11,2015,0,0
2015-11-04 00:00:00,1,18,0,4,2,11,2015,0,0
2015-11-04 01:00:00,1,18,1,4,2,11,2015,0,0
2015-11-04 02:00:00,1,13,2,4,2,11,2015,0,0
2015-11-04 03:00:00,1,13,3,4,2,11,2015,0,0
2015-11-04 04:00:00,1,10,4,4,2,11,2015,0,0
2015-11-04 05:00:00,1,12,5,4,2,11,2015,0,0
2015-11-04 06:00:00,1,13,6,4,2,11,2015,0,0
2015-11-04 07:00:00,1,11,7,4,2,11,2015,0,0
2015-11-04 08:00:00,1,13,8,4,2,11,2015,0,1
2015-11-04 09:00:00,1,22,9,4,2,11,2015,0,1
2015-11-04 10:00:00,1,26,10,4,2,11,2015,0,1
2015-11-04 11:00:00,1,27,11,4,2,11,2015,0,0
2015-11-04 12:00:00,1,31,12,4,2,11,2015,0,0
2015-11-04 13:00:00,1,24,13,4,2,11,2015,0,0
2015-11-04 14:00:00,1,23,14,4,2,11,2015,0,0
2015-11-04 15:00:00,1,26,15,4,2,11,2015,0,0
2015-11-04 16:00:00,1,26,16,4,2,11,2015,0,0
2015-11-04 17:00:00,1,24,17,4,2,11,2015,0,1
2015-11-04 18:00:00,1,23,18,4,2,11,2015,0,1
2015-11-04 19:00:00,1,25,19,4,2,11,2015,0,1
2015-11-04 20:00:00,1,26,20,4,2,11,2015,0,0
2015-11-04 21:00:00,1,24,21,4,2,11,2015,0,0
2015-11-04 22:00:00,1,26,22,4,2,11,2015,0,0
2015-11-04 23:00:00,1,24,23,4,2,11,2015,0,0
2015-11-05 00:00:00,1,19,0,5,3,11,2015,0,0
2015-11-05 01:00:00,1,20,1,5,3,11,2015,0,0
2015-11-05 02:00:00,1,18,2,5,3,11,2015,0,0
2015-11-05 03:00:00,1,13,3,5,3,11,2015,0,0
2015-11-05 04:00:00,1,13,4,5,3,11,2015,0,0
2015-11-05 05:00:00,1,9,5,5,3,11,2015,0,0
2015-11-05 06:00:00,1,12,6,5,3,11,2015,0,0
2015-11-05 07:00:00,1,12,7,5,3,11,2015,0,0
2015-11-05 08:00:00,1,15,8,5,3,11,2015,0,1
2015-11-05 09:00:00,1,16,9,5,3,11,2015,0,1
2015-11-05 10:00:00,1,23,10,5,3,11,2015,0,1
2015-11-05 11:00:00,1,24,11,5,3,11,2015,0,0
2015-11-05 12:00:00,1,25,12,5,3,11,2015,0,0
2015-11-05 13:00:00,1,24,13,5,3,11,2015,0,0
2015-11-05 14:00:00,1,26,14,5,3,11,2015,0,0
2015-11-05 15:00:00,1,22,15,5,3,11,2015,0,0
2015-11-05 16:00:00,1,20,16,5,3,11,2015,0,0
2015-11-05 17:00:00,1,20,17,5,3,11,2015,0,1
2015-11-05 18:00:00,1,22,18,5,3,11,2015,0,1
2015-11-05 19:00:00,1,26,19,5,3,11,2015,0,1
2015-11-05 20:00:00,1,22,20,5,3,11,2015,0,0
2015-11-05 21:00:00,1,21,21,5,3,11,2015,0,0
2015-11-05 22:00:00,1,21,22,5,3,11,2015,0,0
2015-11-05 23:00:00,1,21,23,5,3,11,2015,0,0
2015-11-06 00:00:00,1,16,0,6,4,11,2015,0,0
2015-11-06 01:00:00,1,18,1,6,4,11,2015,0,0
2015-11-06 02:00:00,1,19,2,6,4,11,2015,0,0
2015-11-06 03:00:00,1,14,3,6,4,11,2015,0,0
2015-11-06 04:00:00,1,12,4,6,4,11,2015,0,0
2015-11-06 05:00:00,1,13,5,6,4,11,2015,0,0
2015-11-06 06:00:00,1,14,6,6,4,11,2015,0,0
2015-11-06 07:00:00,1,14,7,6,4,11,2015,0,0
2015-11-06 08:00:00,1,13,8,6,4,11,2015,0,1
2015-11-06 09:00:00,1,20,9,6,4,11,2015,0,1
2015-11-06 10:00:00,1,22,10,6,4,11,2015,0,1
2015-11-06 11:00:00,1,26,11,6,4,11,2015,0,0
2015-11-06 12:00:00,1,26,12,6,4,11,2015,0,0
2015-11-06 13:00:00,1,21,13,6,4,11,2015,0,0
2015-11-06 14:00:00,1,23,14,6,4,11,2015,0,0
2015-11-06 15:00:00,1,23,15,6,4,11,2015,0,0
2015-11-06 16:00:00,1,19,16,6,4,11,2015,0,0
2015-11-06 17:00:00,1,19,17,6,4,11,2015,0,1
2015-11-06 18:00:00,1,20,18,6,4,11,2015,0,1
2015-11-06 19:00:00,1,24,19,6,4,11,2015,0,1
2015-11-06 20:00:00,1,18,20,6,4,11,2015,0,0
2015-11-06 21:00:00,1,19,21,6,4,11,2015,0,0
2015-11-06 22:00:00,1,16,22,6,4,11,2015,0,0
2015-11-06 23:00:00,1,17,23,6,4,11,2015,0,0
2015-11-07 00:00:00,1,16,0,7,5,11,2015,1,0
2015-11-07 01:00:00,1,16,1,7,5,11,2015,1,0
2015-11-07 02:00:00,1,10,2,7,5,11,2015,1,0
2015-11-07 03:00:00,1,9,3,7,5,11,2015,1,0
2015-11-07 04:00:00,1,8,4,7,5,11,2015,1,0
2015-11-07 05:00:00,1,7,5,7,5,11,2015,1,0
2015-11-07 06:00:00,1,9,6,7,5,11,2015,1,0
2015-11-07 07:00:00,1,8,7,7,5,11,2015,1,0
2015-11-07 08:00:00,1,12,8,7,5,11,2015,1,1
2015-11-07 09:00:00,1,13,9,7,5,11,2015,1,1
2015-11-07 10:00:00,1,17,10,7,5,11,2015,1,1
2015-11-07 11:00:00,1,14,11,7,5,11,2015,1,0
2015-11-07 12:00:00,1,14,12,7,5,11,2015,1,0
2015-11-07 13:00:00,1,14,13,7,5,11,2015,1,0
2015-11-07 14:00:00,1,14,14,7,5,11,2015,1,0
2015-11-07 15:00:00,1,11,15,7,5,11,2015,1,0
2015-11-07 16:00:00,1,15,16,7,5,11,2015,1,0
2015-11-07 17:00:00,1,13,17,7,5,11,2015,1,1
2015-11-07 18:00:00,1,12,18,7,5,11,2015,1,1
2015-11-07 19:00:00,1,17,19,7,5,11,2015,1,1
2015-11-07 20:00:00,1,18,20,7,5,11,2015,1,0
2015-11-07 21:00:00,1,17,21,7,5,11,2015,1,0
2015-11-07 22:00:00,1,16,22,7,5,11,2015,1,0
2015-11-07 23:00:00,1,15,23,7,5,11,2015,1,0
2015-11-08 00:00:00,1,13,0,8,6,11,2015,1,0
2015-11-08 01:00:00,1,16,1,8,6,11,2015,1,0
2015-11-08 02:00:00,1,11,2,8,6,11,2015,1,0
2015-11-08 03:00:00,1,8,3,8,6,11,2015,1,0
2015-11-08 04:00:00,1,10,4,8,6,11,2015,1,0
2015-11-08 05:00:00,1,10,5,8,6,11,2015,1,0
2015-11-08 06:00:00,1,10,6,8,6,11,2015,1,0
2015-11-08 07:00:00,1,9,7,8,6,11,2015,1,0
2015-11-08 08:00:00,1,11,8,8,6,11,2015,1,1
2015-11-08 09:00:00,1,12,9,8,6,11,2015,1,1
2015-11-08 10:00:00,1,18,10,8,6,11,2015,1,1
2015-11-08 11:00:00,1,14,11,8,6,11,2015,1,0
2015-11-08 12:00:00,1,17,12,8,6,11,2015,1,0
2015-11-08 13:00:00,1,14,13,8,6,11,2015,1,0
2015-11-08 14:00:00,1,14,14,8,6,11,2015,1,0
2015-11-08 15:00:00,1,14,15,8,6,11,2015,1,0
2015-11-08 16:00:00,1,12,16,8,6,11,2015,1,0
2015-11-08 17:00:00,1,14,17,8,6,11,2015,1,1
2015-11-08 18:00:00,1,18,18,8,6,11,2015,1,1
2015-11-08 19:00:00,1,13,19,8,6,11,2015,1,1
2015-11-08 20:00:00,1,16,20,8,6,11,2015,1,0
2015-11-08 21:00:00,1,18,21,8,6,11,2015,1,0
2015-11-08 22:00:00,1,14,22,8,6,11,2015,1,0
2015-11-08 23:00:00,1,14,23,8,6,11,2015,1,0
2015-11-09 00:00:00,1,13,0,9,0,11,2015,0,0
2015-11-09 01:00:00,1,15,1,9,0,11,2015,0,0
2015-11-09 02:00:00,1,11,2,9,0,11,2015,0,0
2015-11-09 03:00:00,1,10,3,9,0,11,2015,0,0
2015-11-09 04:00:00,1,9,4,9,0,11,2015,0,0
2015-11-09 05:00:00,1,8,5,9,0,11,2015,0,0
2015-11-09 06:00:00,1,8,6,9,0,11,2015,0,0
2015-11-09 07:00:00,1,10,7,9,0,11,2015,0,0
2015-11-09 08:00:00,1,11,8,9,0,11,2015,0,1
2015-11-09 09:00:00,1,17,9,9,0,11,2015,0,1
2015-11-09 10:00:00,1,19,10,9,0,11,2015,0,1
2015-11-09 11:00:00,1,22,11,9,0,11,2015,0,0
2015-11-09 12:00:00,1,23,12,9,0,11,2015,0,0
2015-11-09 13:00:00,1,23,13,9,0,11,2015,0,0
2015-11-09 14:00:00,1,24,14,9,0,11,2015,0,0
2015-11-09 15:00:00,1,24,15,9,0,11,2015,0,0
2015-11-09 16:00:00,1,19,16,9,0,11,2015,0,0
2015-11-09 17:00:00,1,19,17,9,0,11,2015,0,1
2015-11-09 18:00:00,1,20,18,9,0,11,2015,0,1
2015-11-09 19:00:00,1,31,19,9,0,11,2015,0,1
2015-11-09 20:00:00,1,25,20,9,0,11,2015,0,0
2015-11-09 21:00:00,1,35,21,9,0,11,2015,0,0
2015-11-09 22:00:00,1,21,22,9,0,11,2015,0,0
2015-11-09 23:00:00,1,24,23,9,0,11,2015,0,0
2015-11-10 00:00:00,1,19,0,10,1,11,2015,0,0
2015-11-10 01:00:00,1,19,1,10,1,11,2015,0,0
2015-11-10 02:00:00,1,18,2,10,1,11,2015,0,0
2015-11-10 03:00:00,1,17,3,10,1,11,2015,0,0
2015-11-10 04:00:00,1,12,4,10,1,11,2015,0,0
2015-11-10 05:00:00,1,10,5,10,1,11,2015,0,0
2015-11-10 06:00:00,1,14,6,10,1,11,2015,0,0
2015-11-10 07:00:00,1,15,7,10,1,11,2015,0,0
2015-11-10 08:00:00,1,14,8,10,1,11,2015,0,1
2015-11-10 09:00:00,1,34,9,10,1,11,2015,0,1
2015-11-10 10:00:00,1,40,10,10,1,11,2015,0,1
2015-11-10 11:00:00,1,38,11,10,1,11,2015,0,0
2015-11-10 12:00:00,1,36,12,10,1,11,2015,0,0
2015-11-10 13:00:00,1,27,13,10,1,11,2015,0,0
2015-11-10 14:00:00,1,48,14,10,1,11,2015,0,0
2015-11-10 15:00:00,1,43,15,10,1,11,2015,0,0
2015-11-10 16:00:00,1,41,16,10,1,11,2015,0,0
2015-11-10 17:00:00,1,35,17,10,1,11,2015,0,1
2015-11-10 18:00:00,1,40,18,10,1,11,2015,0,1
2015-11-10 19:00:00,1,40,19,10,1,11,2015,0,1
2015-11-10 20:00:00,1,40,20,10,1,11,2015,0,0
2015-11-10 21:00:00,1,36,21,10,1,11,2015,0,0
2015-11-10 22:00:00,1,37,22,10,1,11,2015,0,0
2015-11-10 23:00:00,1,35,23,10,1,11,2015,0,0
2015-11-11 00:00:00,1,28,0,11,2,11,2015,0,0
2015-11-11 01:00:00,1,25,1,11,2,11,2015,0,0
2015-11-11 02:00:00,1,19,2,11,2,11,2015,0,0
2015-11-11 03:00:00,1,21,3,11,2,11,2015,0,0
2015-11-11 04:00:00,1,20,4,11,2,11,2015,0,0
2015-11-11 05:00:00,1,15,5,11,2,11,2015,0,0
2015-11-11 06:00:00,1,17,6,11,2,11,2015,0,0
2015-11-11 07:00:00,1,14,7,11,2,11,2015,0,0
2015-11-11 08:00:00,1,19,8,11,2,11,2015,0,1
2015-11-11 09:00:00,1,22,9,11,2,11,2015,0,1
2015-11-11 10:00:00,1,30,10,11,2,11,2015,0,1
2015-11-11 11:00:00,1,26,11,11,2,11,2015,0,0
2015-11-11 12:00:00,1,26,12,11,2,11,2015,0,0
2015-11-11 13:00:00,1,23,13,11,2,11,2015,0,0
2015-11-11 14:00:00,1,23,14,11,2,11,2015,0,0
2015-11-11 15:00:00,1,24,15,11,2,11,2015,0,0
2015-11-11 16:00:00,1,22,16,11,2,11,2015,0,0
2015-11-11 17:00:00,1,24,17,11,2,11,2015,0,1
2015-11-11 18:00:00,1,26,18,11,2,11,2015,0,1
2015-11-11 19:00:00,1,27,19,11,2,11,2015,0,1
2015-11-11 20:00:00,1,22,20,11,2,11,2015,0,0
2015-11-11 21:00:00,1,23,21,11,2,11,2015,0,0
2015-11-11 22:00:00,1,22,22,11,2,11,2015,0,0
2015-11-11 23:00:00,1,22,23,11,2,11,2015,0,0
2015-11-12 00:00:00,1,22,0,12,3,11,2015,0,0
2015-11-12 01:00:00,1,17,1,12,3,11,2015,0,0
2015-11-12 02:00:00,1,15,2,12,3,11,2015,0,0
2015-11-12 03:00:00,1,12,3,12,3,11,2015,0,0
2015-11-12 04:00:00,1,13,4,12,3,11,2015,0,0
2015-11-12 05:00:00,1,9,5,12,3,11,2015,0,0
2015-11-12 06:00:00,1,14,6,12,3,11,2015,0,0
2015-11-12 07:00:00,1,13,7,12,3,11,2015,0,0
2015-11-12 08:00:00,1,15,8,12,3,11,2015,0,1
2015-11-12 09:00:00,1,27,9,12,3,11,2015,0,1
2015-11-12 10:00:00,1,39,10,12,3,11,2015,0,1
2015-11-12 11:00:00,1,40,11,12,3,11,2015,0,0
2015-11-12 12:00:00,1,36,12,12,3,11,2015,0,0
2015-11-12 13:00:00,1,34,13,12,3,11,2015,0,0
2015-11-12 14:00:00,1,33,14,12,3,11,2015,0,0
2015-11-12 15:00:00,1,28,15,12,3,11,2015,0,0
2015-11-12 16:00:00,1,30,16,12,3,11,2015,0,0
2015-11-12 17:00:00,1,26,17,12,3,11,2015,0,1
2015-11-12 18:00:00,1,30,18,12,3,11,2015,0,1
2015-11-12 19:00:00,1,35,19,12,3,11,2015,0,1
2015-11-12 20:00:00,1,38,20,12,3,11,2015,0,0
2015-11-12 21:00:00,1,34,21,12,3,11,2015,0,0
2015-11-12 22:00:00,1,30,22,12,3,11,2015,0,0
2015-11-12 23:00:00,1,27,23,12,3,11,2015,0,0
2015-11-13 00:00:00,1,24,0,13,4,11,2015,0,0
2015-11-13 01:00:00,1,21,1,13,4,11,2015,0,0
2015-11-13 02:00:00,1,16,2,13,4,11,2015,0,0
2015-11-13 03:00:00,1,16,3,13,4,11,2015,0,0
2015-11-13 04:00:00,1,13,4,13,4,11,2015,0,0
2015-11-13 05:00:00,1,11,5,13,4,11,2015,0,0
2015-11-13 06:00:00,1,13,6,13,4,11,2015,0,0
2015-11-13 07:00:00,1,15,7,13,4,11,2015,0,0
2015-11-13 08:00:00,1,17,8,13,4,11,2015,0,1
2015-11-13 09:00:00,1,18,9,13,4,11,2015,0,1
2015-11-13 10:00:00,1,24,10,13,4,11,2015,0,1
2015-11-13 11:00:00,1,41,11,13,4,11,2015,0,0
2015-11-13 12:00:00,1,29,12,13,4,11,2015,0,0
2015-11-13 13:00:00,1,25,13,13,4,11,2015,0,0
2015-11-13 14:00:00,1,25,14,13,4,11,2015,0,0
2015-11-13 15:00:00,1,26,15,13,4,11,2015,0,0
2015-11-13 16:00:00,1,25,16,13,4,11,2015,0,0
2015-11-13 17:00:00,1,24,17,13,4,11,2015,0,1
2015-11-13 18:00:00,1,26,18,13,4,11,2015,0,1
2015-11-13 19:00:00,1,24,19,13,4,11,2015,0,1
2015-11-13 20:00:00,1,28,20,13,4,11,2015,0,0
2015-11-13 21:00:00,1,22,21,13,4,11,2015,0,0
2015-11-13 22:00:00,1,23,22,13,4,11,2015,0,0
2015-11-13 23:00:00,1,18,23,13,4,11,2015,0,0
2015-11-14 00:00:00,1,21,0,14,5,11,2015,1,0
2015-11-14 01:00:00,1,20,1,14,5,11,2015,1,0
2015-11-14 02:00:00,1,15,2,14,5,11,2015,1,0
2015-11-14 03:00:00,1,13,3,14,5,11,2015,1,0
2015-11-14 04:00:00,1,10,4,14,5,11,2015,1,0
2015-11-14 05:00:00,1,10,5,14,5,11,2015,1,0
2015-11-14 06:00:00,1,12,6,14,5,11,2015,1,0
2015-11-14 07:00:00,1,9,7,14,5,11,2015,1,0
2015-11-14 08:00:00,1,11,8,14,5,11,2015,1,1
2015-11-14 09:00:00,1,15,9,14,5,11,2015,1,1
2015-11-14 10:00:00,1,16,10,14,5,11,2015,1,1
2015-11-14 11:00:00,1,16,11,14,5,11,2015,1,0
2015-11-14 12:00:00,1,12,12,14,5,11,2015,1,0
2015-11-14 13:00:00,1,11,13,14,5,11,2015,1,0
2015-11-14 14:00:00,1,14,14,14,5,11,2015,1,0
2015-11-14 15:00:00,1,16,15,14,5,11,2015,1,0
2015-11-14 16:00:00,1,18,16,14,5,11,2015,1,0
2015-11-14 17:00:00,1,13,17,14,5,11,2015,1,1
2015-11-14 18:00:00,1,17,18,14,5,11,2015,1,1
2015-11-14 19:00:00,1,15,19,14,5,11,2015,1,1
2015-11-14 20:00:00,1,19,20,14,5,11,2015,1,0
2015-11-14 21:00:00,1,15,21,14,5,11,2015,1,0
2015-11-14 22:00:00,1,19,22,14,5,11,2015,1,0
2015-11-14 23:00:00,1,15,23,14,5,11,2015,1,0
2015-11-15 00:00:00,1,15,0,15,6,11,2015,1,0
2015-11-15 01:00:00,1,13,1,15,6,11,2015,1,0
2015-11-15 02:00:00,1,14,2,15,6,11,2015,1,0
2015-11-15 03:00:00,1,10,3,15,6,11,2015,1,0
2015-11-15 04:00:00,1,8,4,15,6,11,2015,1,0
2015-11-15 05:00:00,1,9,5,15,6,11,2015,1,0
2015-11-15 06:00:00,1,9,6,15,6,11,2015,1,0
2015-11-15 07:00:00,1,9,7,15,6,11,2015,1,0
2015-11-15 08:00:00,1,9,8,15,6,11,2015,1,1
2015-11-15 09:00:00,1,16,9,15,6,11,2015,1,1
2015-11-15 10:00:00,1,18,10,15,6,11,2015,1,1
2015-11-15 11:00:00,1,18,11,15,6,11,2015,1,0
2015-11-15 12:00:00,1,17,12,15,6,11,2015,1,0
2015-11-15 13:00:00,1,18,13,15,6,11,2015,1,0
2015-11-15 14:00:00,1,14,14,15,6,11,2015,1,0
2015-11-15 15:00:00,1,15,15,15,6,11,2015,1,0
2015-11-15 16:00:00,1,13,16,15,6,11,2015,1,0
2015-11-15 17:00:00,1,15,17,15,6,11,2015,1,1
2015-11-15 18:00:00,1,19,18,15,6,11,2015,1,1
2015-11-15 19:00:00,1,18,19,15,6,11,2015,1,1
2015-11-15 20:00:00,1,21,20,15,6,11,2015,1,0
2015-11-15 21:00:00,1,17,21,15,6,11,2015,1,0
2015-11-15 22:00:00,1,17,22,15,6,11,2015,1,0
2015-11-15 23:00:00,1,15,23,15,6,11,2015,1,0
2015-11-16 00:00:00,1,17,0,16,0,11,2015,0,0
2015-11-16 01:00:00,1,14,1,16,0,11,2015,0,0
2015-11-16 02:00:00,1,13,2,16,0,11,2015,0,0
2015-11-16 03:00:00,1,15,3,16,0,11,2015,0,0
2015-11-16 04:00:00,1,12,4,16,0,11,2015,0,0
2015-11-16 05:00:00,1,12,5,16,0,11,2015,0,0
2015-11-16 06:00:00,1,13,6,16,0,11,2015,0,0
2015-11-16 07:00:00,1,14,7,16,0,11,2015,0,0
2015-11-16 08:00:00,1,13,8,16,0,11,2015,0,1
2015-11-16 09:00:00,1,16,9,16,0,11,2015,0,1
2015-11-16 10:00:00,1,26,10,16,0,11,2015,0,1
2015-11-16 11:00:00,1,21,11,16,0,11,2015,0,0
2015-11-16 12:00:00,1,26,12,16,0,11,2015,0,0
2015-11-16 13:00:00,1,24,13,16,0,11,2015,0,0
2015-11-16 14:00:00,1,26,14,16,0,11,2015,0,0
2015-11-16 15:00:00,1,22,15,16,0,11,2015,0,0
2015-11-16 16:00:00,1,24,16,16,0,11,2015,0,0
2015-11-16 17:00:00,1,26,17,16,0,11,2015,0,1
2015-11-16 18:00:00,1,23,18,16,0,11,2015,0,1
2015-11-16 19:00:00,1,29,19,16,0,11,2015,0,1
2015-11-16 20:00:00,1,31,20,16,0,11,2015,0,0
2015-11-16 21:00:00,1,27,21,16,0,11,2015,0,0
2015-11-16 22:00:00,1,27,22,16,0,11,2015,0,0
2015-11-16 23:00:00,1,26,23,16,0,11,2015,0,0
2015-11-17 00:00:00,1,23,0,17,1,11,2015,0,0
2015-11-17 01:00:00,1,21,1,17,1,11,2015,0,0
2015-11-17 02:00:00,1,19,2,17,1,11,2015,0,0
2015-11-17 03:00:00,1,16,3,17,1,11,2015,0,0
2015-11-17 04:00:00,1,11,4,17,1,11,2015,0,0
2015-11-17 05:00:00,1,11,5,17,1,11,2015,0,0
2015-11-17 06:00:00,1,15,6,17,1,11,2015,0,0
2015-11-17 07:00:00,1,12,7,17,1,11,2015,0,0
2015-11-17 08:00:00,1,12,8,17,1,11,2015,0,1
2015-11-17 09:00:00,1,18,9,17,1,11,2015,0,1
2015-11-17 10:00:00,1,31,10,17,1,11,2015,0,1
2015-11-17 11:00:00,1,42,11,17,1,11,2015,0,0
2015-11-17 12:00:00,1,37,12,17,1,11,2015,0,0
2015-11-17 13:00:00,1,30,13,17,1,11,2015,0,0
2015-11-17 14:00:00,1,33,14,17,1,11,2015,0,0
2015-11-17 15:00:00,1,28,15,17,1,11,2015,0,0
2015-11-17 16:00:00,1,29,16,17,1,11,2015,0,0
2015-11-17 17:00:00,1,28,17,17,1,11,2015,0,1
2015-11-17 18:00:00,1,28,18,17,1,11,2015,0,1
2015-11-17 19:00:00,1,31,19,17,1,11,2015,0,1
2015-11-17 20:00:00,1,28,20,17,1,11,2015,0,0
2015-11-17 21:00:00,1,26,21,17,1,11,2015,0,0
2015-11-17 22:00:00,1,26,22,17,1,11,2015,0,0
2015-11-17 23:00:00,1,27,23,17,1,11,2015,0,0
2015-11-18 00:00:00,1,24,0,18,2,11,2015,0,0
2015-11-18 01:00:00,1,23,1,18,2,11,2015,0,0
2015-11-18 02:00:00,1,20,2,18,2,11,2015,0,0
2015-11-18 03:00:00,1,19,3,18,2,11,2015,0,0
2015-11-18 04:00:00,1,20,4,18,2,11,2015,0,0
2015-11-18 05:00:00,1,16,5,18,2,11,2015,0,0
2015-11-18 06:00:00,1,19,6,18,2,11,2015,0,0
2015-11-18 07:00:00,1,16,7,18,2,11,2015,0,0
2015-11-18 08:00:00,1,17,8,18,2,11,2015,0,1
2015-11-18 09:00:00,1,19,9,18,2,11,2015,0,1
2015-11-18 10:00:00,1,30,10,18,2,11,2015,0,1
2015-11-18 11:00:00,1,44,11,18,2,11,2015,0,0
2015-11-18 12:00:00,1,35,12,18,2,11,2015,0,0
2015-11-18 13:00:00,1,34,13,18,2,11,2015,0,0
2015-11-18 14:00:00,1,31,14,18,2,11,2015,0,0
2015-11-18 15:00:00,1,31,15,18,2,11,2015,0,0
2015-11-18 16:00:00,1,28,16,18,2,11,2015,0,0
2015-11-18 17:00:00,1,34,17,18,2,11,2015,0,1
2015-11-18 18:00:00,1,37,18,18,2,11,2015,0,1
2015-11-18 19:00:00,1,37,19,18,2,11,2015,0,1
2015-11-18 20:00:00,1,34,20,18,2,11,2015,0,0
2015-11-18 21:00:00,1,31,21,18,2,11,2015,0,0
2015-11-18 22:00:00,1,29,22,18,2,11,2015,0,0
2015-11-18 23:00:00,1,28,23,18,2,11,2015,0,0
2015-11-19 00:00:00,1,32,0,19,3,11,2015,0,0
2015-11-19 01:00:00,1,23,1,19,3,11,2015,0,0
